start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len
1772620522.506303,1772620542.506303,8,656,0,0,0,0,82.0
1772620582.506303,1772620602.506303,1,76,0,0,0,0,76.0
1772619683.090321,1772619703.090321,0,0,0,0,0,0,0.0
1772619983.090321,1772620003.090321,1,76,0,0,0,0,76.0
1772620582.506303,1772620602.506303,1,76,0,0,0,0,76.0
1772620582.506303,1772620602.506303,1,76,0,0,0,0,76.0
1772620582.506303,1772620602.506303,1,76,0,0,0,0,76.0
1772619883.090321,1772619903.090321,0,0,0,0,0,0,0.0
1772620582.506303,1772620602.506303,1,76,0,0,0,0,76.0
1772620602.506303,1772620622.506303,3,144,0,0,0,0,48.0
1772620203.090321,1772620223.090321,3,144,0,0,0,0,48.0
1772620622.506303,1772620642.506303,3,144,0,0,0,0,48.0
1772619703.090321,1772619723.090321,3,144,0,0,0,0,48.0
1772620303.090321,1772620323.090321,0,0,0,0,0,0,0.0
1772620622.506303,1772620642.506303,3,144,0,0,0,0,48.0
1772620602.506303,1772620622.506303,3,144,0,0,0,0,48.0
1772620542.506303,1772620562.506303,1,76,0,0,0,0,76.0
1772620522.506303,1772620542.506303,8,656,0,0,0,0,82.0
1772619563.090321,1772619583.090321,0,0,0,0,0,0,0.0
1772619823.090321,1772619843.090321,0,0,0,0,0,0,0.0
1772620043.090321,1772620063.090321,0,0,0,0,0,0,0.0
1772619963.090321,1772619983.090321,9,432,0,0,0,0,48.0
1772620103.090321,1772620123.090321,0,0,0,0,0,0,0.0
1772620562.506303,1772620582.506303,3,144,0,0,0,0,48.0
1772620582.506303,1772620602.506303,1,76,0,0,0,0,76.0
1772620562.506303,1772620582.506303,3,144,0,0,0,0,48.0
1772619903.090321,1772619923.090321,3,144,0,0,0,0,48.0
1772619923.090321,1772619943.090321,3,144,0,0,0,0,48.0
1772620542.506303,1772620562.506303,1,76,0,0,0,0,76.0
1772620083.090321,1772620103.090321,3,144,0,0,0,0,48.0
1772620602.506303,1772620622.506303,3,144,0,0,0,0,48.0
1772619943.090321,1772619963.090321,0,0,0,0,0,0,0.0
1772620542.506303,1772620562.506303,1,76,0,0,0,0,76.0
1772620602.506303,1772620622.506303,3,144,0,0,0,0,48.0
1772619523.090321,1772619543.090321,6,288,0,0,0,0,48.0
1772620622.506303,1772620642.506303,3,144,0,0,0,0,48.0
1772619483.090321,1772619503.090321,10,752,0,0,0,0,75.2
1772620622.506303,1772620642.506303,3,144,0,0,0,0,48.0
1772620562.506303,1772620582.506303,3,144,0,0,0,0,48.0
1772620143.090321,1772620163.090321,6,288,0,0,0,0,48.0
