start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len
1772625415.538284,1772625425.538284,62,8032,2,2,0,0,129.5483870967742
1772625425.538284,1772625435.538284,68,8994,2,2,0,0,132.26470588235293
1772625435.538284,1772625445.538284,64,8294,2,2,0,0,129.59375
1772625445.538284,1772625455.538284,62,8202,2,2,0,0,132.29032258064515
1772625455.538284,1772625465.538284,66,8729,2,2,0,0,132.25757575757575
1772625465.538284,1772625475.538284,62,8037,2,2,0,0,129.6290322580645
1772625475.538284,1772625485.538284,60,7939,2,2,0,0,132.31666666666666
1772625485.538284,1772625495.538284,75,9428,2,2,0,0,125.70666666666666
1772625495.538284,1772625505.538284,6,794,2,2,0,0,132.33333333333334
1772625505.538284,1772625515.538284,54,7139,2,2,0,0,132.2037037037037
1772625515.538284,1772625525.538284,68,8822,2,2,0,0,129.73529411764707
1772625525.538284,1772625535.538284,60,7941,2,2,0,0,132.35
1772625535.538284,1772625545.538284,60,7938,2,2,0,0,132.3
1772625545.538284,1772625555.538284,73,9235,2,2,0,0,126.5068493150685
1772625555.538284,1772625565.538284,65,8340,2,2,0,0,128.30769230769232
1772625565.538284,1772625575.538284,62,8201,2,2,0,0,132.2741935483871
1772625575.538284,1772625585.538284,68,8825,2,2,0,0,129.77941176470588
1772625585.538284,1772625595.538284,60,7940,2,2,0,0,132.33333333333334
1772625595.538284,1772625605.538284,62,8031,2,2,0,0,129.53225806451613
1772625605.538284,1772625615.538284,81,9718,2,2,0,0,119.9753086419753
1772625615.538284,1772625625.538284,56,7401,2,2,0,0,132.16071428571428
1772625625.538284,1772625635.538284,63,8249,2,2,0,0,130.93650793650792
1772625635.538284,1772625645.538284,70,8920,2,2,0,0,127.42857142857143
1772625645.538284,1772625655.538284,60,7939,2,2,0,0,132.31666666666666
1772625655.538284,1772625665.538284,60,7938,2,2,0,0,132.3
1772625665.538284,1772625675.538284,73,9233,2,2,0,0,126.47945205479452
1772625675.538284,1772625685.538284,62,8191,2,2,0,0,132.11290322580646
1772625685.538284,1772625695.538284,62,8202,2,2,0,0,132.29032258064515
1772625695.538284,1772625705.538284,68,8826,2,2,0,0,129.7941176470588
1772625705.538284,1772625715.538284,60,7940,2,2,0,0,132.33333333333334
1772625715.538284,1772625725.538284,24,3169,2,2,0,0,132.04166666666666
