start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len,mqtt_msg_count,mqtt_bytes,avg_mqtt_payload_len,unique_mqtt_endpoints
1772632900.078053,1772632903.078053,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772632903.078053,1772632906.078053,16,2118,2,2,0,0,132.375,8,966,120.75,1
1772632906.078053,1772632909.078053,24,3169,2,2,0,0,132.04166666666666,12,1441,120.08333333333333,1
1772632909.078053,1772632912.078053,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772632912.078053,1772632915.078053,20,2647,2,2,0,0,132.35,10,1207,120.7,1
1772632915.078053,1772632918.078053,16,2119,2,2,0,0,132.4375,8,967,120.875,1
1772632918.078053,1772632921.078053,33,3929,2,2,0,0,119.06060606060606,14,1673,119.5,1
1772632921.078053,1772632924.078053,12,1589,2,2,0,0,132.41666666666666,6,725,120.83333333333333,1
1772632924.078053,1772632927.078053,22,2913,2,2,0,0,132.4090909090909,11,1329,120.81818181818181,1
1772632927.078053,1772632930.078053,14,1855,2,2,0,0,132.5,7,847,121.0,1
1772632930.078053,1772632933.078053,26,3433,2,2,0,0,132.03846153846155,13,1561,120.07692307692308,1
1772632933.078053,1772632936.078053,16,2002,2,2,0,0,125.125,8,850,106.25,2
1772632936.078053,1772632939.078053,20,2650,2,2,0,0,132.5,10,1210,121.0,1
1772632939.078053,1772632942.078053,16,2117,2,2,0,0,132.3125,8,965,120.625,1
1772632942.078053,1772632945.078053,24,3168,2,2,0,0,132.0,12,1440,120.0,1
1772632945.078053,1772632948.078053,14,1852,2,2,0,0,132.28571428571428,7,844,120.57142857142857,1
1772632948.078053,1772632951.078053,24,3172,2,2,0,0,132.16666666666666,12,1444,120.33333333333333,1
1772632951.078053,1772632954.078053,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772632954.078053,1772632957.078053,26,3433,2,2,0,0,132.03846153846155,13,1561,120.07692307692308,1
1772632957.078053,1772632960.078053,12,1589,2,2,0,0,132.41666666666666,6,725,120.83333333333333,1
1772632960.078053,1772632963.078053,24,3010,2,2,0,0,125.41666666666667,11,1330,120.9090909090909,1
1772632963.078053,1772632966.078053,16,2120,2,2,0,0,132.5,8,968,121.0,1
1772632966.078053,1772632969.078053,24,3170,2,2,0,0,132.08333333333334,12,1442,120.16666666666667,1
1772632969.078053,1772632972.078053,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772632972.078053,1772632975.078053,20,2647,2,2,0,0,132.35,10,1207,120.7,1
1772632975.078053,1772632978.078053,16,2115,2,2,0,0,132.1875,8,963,120.375,1
1772632978.078053,1772632981.078053,31,3835,2,2,0,0,123.70967741935483,14,1675,119.64285714285714,1
1772632981.078053,1772632984.078053,12,1588,2,2,0,0,132.33333333333334,6,724,120.66666666666667,1
1772632984.078053,1772632987.078053,24,3009,2,2,0,0,125.375,11,1329,120.81818181818181,1
1772632987.078053,1772632990.078053,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772632990.078053,1772632993.078053,26,3433,2,2,0,0,132.03846153846155,13,1561,120.07692307692308,1
1772632993.078053,1772632996.078053,14,1855,2,2,0,0,132.5,7,847,121.0,1
1772632996.078053,1772632999.078053,21,2698,2,2,0,0,128.47619047619048,10,1210,121.0,1
1772632999.078053,1772633002.078053,18,2212,2,2,0,0,122.88888888888889,8,964,120.5,1
1772633002.078053,1772633005.078053,24,3167,2,2,0,0,131.95833333333334,12,1439,119.91666666666667,1
1772633005.078053,1772633008.078053,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772633008.078053,1772633011.078053,24,3173,2,2,0,0,132.20833333333334,12,1445,120.41666666666667,1
1772633011.078053,1772633014.078053,16,1950,2,2,0,0,121.875,7,846,120.85714285714286,1
1772633014.078053,1772633017.078053,26,3434,2,2,0,0,132.07692307692307,13,1562,120.15384615384616,1
1772633017.078053,1772633020.078053,12,1590,2,2,0,0,132.5,6,726,121.0,1
1772633020.078053,1772633023.078053,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772633023.078053,1772633026.078053,16,2120,2,2,0,0,132.5,8,968,121.0,1
1772633026.078053,1772633029.078053,24,3168,2,2,0,0,132.0,12,1440,120.0,1
1772633029.078053,1772633032.078053,14,1853,2,2,0,0,132.35714285714286,7,845,120.71428571428571,1
1772633032.078053,1772633035.078053,20,2647,2,2,0,0,132.35,10,1207,120.7,1
1772633035.078053,1772633038.078053,18,2215,2,2,0,0,123.05555555555556,8,967,120.875,1
1772633038.078053,1772633041.078053,31,3837,2,2,0,0,123.7741935483871,14,1677,119.78571428571429,1
1772633041.078053,1772633044.078053,14,1685,2,2,0,0,120.35714285714286,6,725,120.83333333333333,1
1772633044.078053,1772633047.078053,26,3107,2,2,0,0,119.5,11,1331,121.0,1
1772633047.078053,1772633050.078053,14,1855,2,2,0,0,132.5,7,847,121.0,1
1772633050.078053,1772633053.078053,26,3435,2,2,0,0,132.1153846153846,13,1563,120.23076923076923,1
1772633053.078053,1772633056.078053,16,2003,2,2,0,0,125.1875,8,851,106.375,2
1772633056.078053,1772633059.078053,20,2648,2,2,0,0,132.4,10,1208,120.8,1
1772633059.078053,1772633062.078053,16,2118,2,2,0,0,132.375,8,966,120.75,1
1772633062.078053,1772633065.078053,24,3167,2,2,0,0,131.95833333333334,12,1439,119.91666666666667,1
1772633065.078053,1772633068.078053,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772633068.078053,1772633071.078053,27,3318,2,2,0,0,122.88888888888889,12,1446,120.5,1
1772633071.078053,1772633074.078053,14,1853,2,2,0,0,132.35714285714286,7,845,120.71428571428571,1
1772633074.078053,1772633077.078053,26,3433,2,2,0,0,132.03846153846155,13,1561,120.07692307692308,1
1772633077.078053,1772633080.078053,12,1590,2,2,0,0,132.5,6,726,121.0,1
1772633080.078053,1772633083.078053,24,3011,2,2,0,0,125.45833333333333,11,1331,121.0,1
1772633083.078053,1772633086.078053,16,2119,2,2,0,0,132.4375,8,967,120.875,1
1772633086.078053,1772633089.078053,24,3168,2,2,0,0,132.0,12,1440,120.0,1
1772633089.078053,1772633092.078053,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772633092.078053,1772633095.078053,20,2647,2,2,0,0,132.35,10,1207,120.7,1
1772633095.078053,1772633098.078053,16,2119,2,2,0,0,132.4375,8,967,120.875,1
1772633098.078053,1772633101.078053,31,3836,2,2,0,0,123.74193548387096,14,1676,119.71428571428571,1
1772633101.078053,1772633104.078053,14,1685,2,2,0,0,120.35714285714286,6,725,120.83333333333333,1
1772633104.078053,1772633107.078053,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
