start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst,tcp_syn_count,udp_count,avg_pkt_len,mqtt_msg_count,mqtt_bytes,avg_mqtt_payload_len,unique_mqtt_endpoints
1772638590.10272,1772638593.10272,24,3173,2,2,0,0,132.20833333333334,12,1445,120.41666666666667,1
1772638593.10272,1772638596.10272,14,1855,2,2,0,0,132.5,7,847,121.0,1
1772638596.10272,1772638599.10272,26,3266,2,2,0,0,125.61538461538461,12,1442,120.16666666666667,1
1772638599.10272,1772638602.10272,16,2119,2,2,0,0,132.4375,8,967,120.875,1
1772638602.10272,1772638605.10272,20,2648,2,2,0,0,132.4,10,1208,120.8,1
1772638605.10272,1772638608.10272,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772638608.10272,1772638611.10272,26,3433,2,2,0,0,132.03846153846155,13,1561,120.07692307692308,1
1772638611.10272,1772638614.10272,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772638614.10272,1772638617.10272,22,2912,2,2,0,0,132.36363636363637,11,1328,120.72727272727273,1
1772638617.10272,1772638620.10272,15,1896,2,2,0,0,126.4,7,840,120.0,1
1772638620.10272,1772638623.10272,28,3528,2,2,0,0,126.0,13,1560,120.0,1
1772638623.10272,1772638626.10272,16,2120,2,2,0,0,132.5,8,968,121.0,1
1772638626.10272,1772638629.10272,20,2648,2,2,0,0,132.4,10,1208,120.8,1
1772638629.10272,1772638632.10272,19,2094,2,2,0,0,110.21052631578948,7,846,120.85714285714286,1
1772638632.10272,1772638635.10272,24,3170,2,2,0,0,132.08333333333334,12,1442,120.16666666666667,1
1772638635.10272,1772638638.10272,16,2118,2,2,0,0,132.375,8,966,120.75,1
1772638638.10272,1772638641.10272,22,2914,2,2,0,0,132.45454545454547,11,1330,120.9090909090909,1
1772638641.10272,1772638644.10272,12,1588,2,2,0,0,132.33333333333334,6,724,120.66666666666667,1
1772638644.10272,1772638647.10272,26,3432,2,2,0,0,132.0,13,1560,120.0,1
1772638647.10272,1772638650.10272,14,1854,2,2,0,0,132.42857142857142,7,846,120.85714285714286,1
1772638650.10272,1772638653.10272,24,3173,2,2,0,0,132.20833333333334,12,1445,120.41666666666667,1
1772638653.10272,1772638656.10272,6,795,2,2,0,0,132.5,3,363,121.0,1
