start_ts,end_ts,total_pkts,total_bytes,unique_src,unique_dst
1773068136.452739,1773068139.452739,22,2912,2,2
1773068139.452739,1773068142.452739,16,2120,2,2
1773068142.452739,1773068145.452739,22,2904,2,2
1773068145.452739,1773068148.452739,16,2120,2,2
1773068148.452739,1773068151.452739,20,2649,2,2
1773068151.452739,1773068154.452739,16,2117,2,2
1773068154.452739,1773068157.452739,26,3263,2,2
1773068157.452739,1773068160.452739,14,1854,2,2
1773068160.452739,1773068163.452739,22,2912,2,2
1773068163.452739,1773068166.452739,16,2114,2,2
1773068166.452739,1773068169.452739,24,3170,2,2
1773068169.452739,1773068172.452739,4,529,2,2
