protocol,eps,replaced,precision_before,recall_before,f1_before,precision_after,recall_after,f1_after,run_id
mqtt,0.015,0,0.9722222222222222,1.0,0.9859154929577464,0.9722222222222222,1.0,0.9859154929577464,run_live_evasion_v1
mqtt,0.018,0,0.9722222222222222,1.0,0.9859154929577464,0.9722222222222222,1.0,0.9859154929577464,run_live_evasion_v1
mqtt,0.021,0,0.9722222222222222,1.0,0.9859154929577464,0.9722222222222222,1.0,0.9859154929577464,run_live_evasion_v1
mqtt,0.024,0,0.9722222222222222,1.0,0.9859154929577464,0.9722222222222222,1.0,0.9859154929577464,run_live_evasion_v1
mqtt,0.027,0,0.9722222222222222,1.0,0.9859154929577464,0.9722222222222222,1.0,0.9859154929577464,run_live_evasion_v1
mqtt,0.03,0,0.9722222222222222,1.0,0.9859154929577464,0.9722222222222222,1.0,0.9859154929577464,run_live_evasion_v1
modbus,0.015,0,0.972972972972973,1.0,0.9863013698630136,0.972972972972973,1.0,0.9863013698630136,run_live_evasion_v1
modbus,0.018,0,0.972972972972973,1.0,0.9863013698630136,0.972972972972973,1.0,0.9863013698630136,run_live_evasion_v1
modbus,0.021,0,0.972972972972973,1.0,0.9863013698630136,0.972972972972973,1.0,0.9863013698630136,run_live_evasion_v1
modbus,0.024,0,0.972972972972973,1.0,0.9863013698630136,0.972972972972973,1.0,0.9863013698630136,run_live_evasion_v1
modbus,0.027,0,0.972972972972973,1.0,0.9863013698630136,0.972972972972973,1.0,0.9863013698630136,run_live_evasion_v1
modbus,0.03,0,0.972972972972973,1.0,0.9863013698630136,0.972972972972973,1.0,0.9863013698630136,run_live_evasion_v1
other,0.015,12,0.96,1.0,0.979591836734694,0.9285714285714286,0.5416666666666666,0.6842105263157895,run_live_evasion_v1
other,0.018,12,0.96,1.0,0.979591836734694,0.9285714285714286,0.5416666666666666,0.6842105263157895,run_live_evasion_v1
other,0.021,12,0.96,1.0,0.979591836734694,0.9285714285714286,0.5416666666666666,0.6842105263157895,run_live_evasion_v1
other,0.024,12,0.96,1.0,0.979591836734694,0.9285714285714286,0.5416666666666666,0.6842105263157895,run_live_evasion_v1
other,0.027,12,0.96,1.0,0.979591836734694,0.9285714285714286,0.5416666666666666,0.6842105263157895,run_live_evasion_v1
other,0.03,12,0.96,1.0,0.979591836734694,0.9285714285714286,0.5416666666666666,0.6842105263157895,run_live_evasion_v1
mqtt,0.015,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v10
mqtt,0.018,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v10
mqtt,0.021,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v10
mqtt,0.024,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v10
mqtt,0.027,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v10
mqtt,0.03,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v10
modbus,0.015,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v2
modbus,0.018,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v2
modbus,0.021,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v2
modbus,0.024,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v2
modbus,0.027,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v2
modbus,0.03,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v2
other,0.015,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v3
other,0.018,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v3
other,0.021,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v3
other,0.024,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v3
other,0.027,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v3
other,0.03,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v3
modbus,0.015,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v4
modbus,0.018,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v4
modbus,0.021,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v4
modbus,0.024,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v4
modbus,0.027,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v4
modbus,0.03,12,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428,run_live_evasion_v4
mqtt,0.015,12,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666,run_live_evasion_v5
