run,precision_before_mean,recall_before_mean,f1_before_mean,precision_after_mean,recall_after_mean,f1_after_mean
run_live_evasion_v1,0.9222756410256412,1.0,0.9595652173913043,0.8693910256410258,0.8854166666666666,0.8574223602484472
run_live_evasion_v10,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428
run_live_evasion_v2,0.9230769230769232,1.0,0.96,0.0,0.0,0.0
run_live_evasion_v3,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428
run_live_evasion_v4,0.9230769230769232,1.0,0.96,0.0,0.0,0.0
run_live_evasion_v5,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428
run_live_evasion_v6,0.9230769230769232,1.0,0.96,0.6666666666666666,0.1666666666666666,0.2666666666666666
run_live_evasion_v7,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428
run_live_evasion_v8,0.9230769230769232,1.0,0.96,0.0,0.0,0.0
run_live_evasion_v9,0.9230769230769232,1.0,0.96,0.5,0.0833333333333333,0.1428571428571428
